#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABA1	APX1	3702.AT5G67030.1	3702.AT1G07890.8	0	0	0	0	0.054	0	0	0.430	0.437
ABA1	GolS3	3702.AT5G67030.1	3702.AT1G09350.1	0	0	0	0	0	0	0	0.518	0.518
ABA1	COR47	3702.AT5G67030.1	3702.AT1G20440.1	0	0	0	0	0	0	0	0.590	0.590
ABA1	MYC2	3702.AT5G67030.1	3702.AT1G32640.1	0	0	0	0	0	0	0	0.404	0.404
ABA1	ABF2	3702.AT5G67030.1	3702.AT1G45249.3	0	0	0	0	0.105	0	0	0.565	0.594
ABA1	bZIP	3702.AT5G67030.1	3702.AT1G68880.1	0	0	0	0	0	0	0	0.616	0.616
ABA1	ADH1	3702.AT5G67030.1	3702.AT1G77120.1	0	0	0	0	0.083	0	0	0.381	0.408
ABA1	ABI5	3702.AT5G67030.1	3702.AT2G36270.1	0	0	0	0	0	0	0	0.759	0.759
ABA1	P5CS1	3702.AT5G67030.1	3702.AT2G39800.1	0	0	0	0	0.181	0	0.133	0.591	0.684
ABA1	COR15A	3702.AT5G67030.1	3702.AT2G42540.2	0	0	0	0	0.086	0	0	0.580	0.599
ABA1	NCED3	3702.AT5G67030.1	3702.AT3G14440.1	0	0	0	0	0	0	0	0.954	0.954
ABA1	ABF4	3702.AT5G67030.1	3702.AT3G19290.3	0	0	0	0	0.047	0	0	0.462	0.465
ABA1	ABI3	3702.AT5G67030.1	3702.AT3G24650.1	0	0	0	0	0	0	0	0.756	0.756
ABA1	KIN11	3702.AT5G67030.1	3702.AT3G29160.1	0	0	0	0	0	0	0	0.426	0.426
ABA1	ACT12	3702.AT5G67030.1	3702.AT3G46520.1	0	0	0	0	0	0	0	0.549	0.549
ABA1	SNRK2.2	3702.AT5G67030.1	3702.AT3G50500.2	0	0	0	0	0	0	0	0.482	0.482
ABA1	DREB1A	3702.AT5G67030.1	3702.AT4G25480.1	0	0	0	0	0	0	0	0.481	0.481
ABA1	ABI1	3702.AT5G67030.1	3702.AT4G26080.1	0	0	0	0	0	0	0	0.878	0.878
